Question,Answer
What is required to log in to the BU Accommodation Portal?,"You will need your BU student login, which comprises a username and password."
What should you do if you cannot locate your BU student login email?,"If you cannot locate your email, you should contact the AskBU Team on +44 (0)1202 969696, Monday to Friday, 09:00 to 16:30."
How can you reset your BU student password?,"You can reset your password from a link in the email titled ""Your BU Student Account"" or ""BU Account Notification."""
What is the format of the BU student username?,The BU student username is in the format sxxxxx@bournemouth.ac.uk.
What are the steps to complete Stage 1 and Stage 2 in the Accommodation Portal?,"Once logged in, select 'Registration and Booking' on the top navigation and follow the steps to complete Stage 1 (registering your interest) and/or Stage 2 (choosing and booking your room)."
What payment is required to secure a room booked directly with BU?,A first rent payment of £250 is required within 24 hours to secure the room.
What happens if the payment is not made by the deadline for BU-managed accommodation?,"If payment is not made by the deadline, the reservation can be cancelled, and the room will be released for others to book."
When does the Accommodation Portal open for January 2025 entry?,The Accommodation Portal for January 2025 entry opens on Tuesday 22 October.
When does the Accommodation Portal open for September 2025 entry?,The Accommodation Portal for September 2025 entry opens for Stage 1 from 6 November 2024.
Who is eligible to complete Stage 2 for January 2025 entry?,"Unconditional offer holders (UF) can complete Stage 2, while conditional offer holders (CF) must wait until their offer status changes to UF."
When can Unconditional Firm (UF) offer holders complete Stage 2 for September 2025 entry?,UF offer holders can complete Stage 2 from Tuesday 25 March 2025.
What happens if a Conditional Firm (CF) offer holder reserves a room but does not meet the course offer criteria?,The room reservation will be released with no penalty.
Where are clinical placements for health and social care students typically located?,"Clinical placements are organized in Dorset, Somerset, Wiltshire, and Hampshire."
Can students change their main placement locality after starting their course?,"No, placement localities are allocated at the time of the offer and cannot be changed once the course starts."
What financial support is available for travel and dual accommodation during placements?,The NHS Learning Support Fund can support students with placement travel expenses and dual accommodation costs.
How can students book hospital accommodation for their placements?,Students should contact the accommodation office of the hospital directly using the contact details provided on the accommodation option’s page.
What should Paramedic Science students consider when booking accommodation?,"They should consider the length of their accommodation contract and parking availability, as they may need a car for placements."
What parking options are available for Paramedic Science students in the Student Village?,Students can apply for an on-campus parking permit by contacting accommodation@bournemouth.ac.uk.
What accommodation options are available for Portsmouth Midwifery students?,Portsmouth Midwifery students need to book accommodation in the private sector or contact the Queen Alexandra Hospital for NHS accommodation.
Which BU accommodation options have parking available?,"Unilet properties may have limited parking, and Cranborne House has some limited parking spaces available upon application."
How can students claim back travel and dual accommodation expenses?,"Students can claim back expenses through the NHS Learning Support Fund, with policies available on the NHS bursaries website."
"What is ResLifeBU, and what does it offer?","ResLifeBU is a program designed to support students in BU accommodation with social activities, wellbeing, and skill development."
What roles are part of the ResLifeBU team?,"The team includes Resident Assistants (RAs), Welfare Coordinators, ResLifeBU Coordinators, and ResLifeBU Officers."
How much of the weekly rent goes towards funding ResLifeBU?,£1.50 of the weekly rent goes towards funding the ResLifeBU program.
What should students do if they need to travel to placement locations at unsociable hours?,"Students should ensure they have means to travel, which may include using short-term accommodation options and claiming travel expenses through the NHS Learning Support Fund."
What is the geographical footprint for health and social care placements?,"The footprint covers Dorset, Somerset, Wiltshire, and Hampshire."
What is the deadline for completing Stage 1 for September 2025 entry?,The deadline for completing Stage 1 for September 2025 entry is 25 April 2025.
What happens if a student books BU accommodation but later books alternative accommodation during placements?,"BU will not release the student from their contract, but they may claim back travel expenses and dual accommodation costs from the NHS."
"What is the National Code, and how does it apply to private accommodation?","The National Code is a government-approved code of standards for private accommodation operators, ensuring high standards of management and operation."
What postcodes should Portsmouth Midwifery students use when searching for private accommodation?,Students should use PO6 3LY for Queen Alexandra Hospital and PO6 3EN for Portsmouth Midwifery Campus.
What is the role of the Resident Assistant (RA) in ResLifeBU?,"The RA is a current BU student who lives on-site and provides support and guidance to residents, helping them adjust to university life."
