Question,Answer
What is the contact number for AskBU?,The contact number for AskBU is 01202 969696.
How can new and current students contact AskBU?,"New and current students can contact AskBU by email at askbu@bournemouth.ac.uk, by phone at 01202 969696, or by visiting the Talbot or Lansdowne Campus."
What is the email address for general enquiries at Bournemouth University?,The email address for general enquiries is enquiries@bournemouth.ac.uk.
How can I contact the Research Development & Support office at Bournemouth University?,You can contact the Research Development & Support office by emailing research@bournemouth.ac.uk.
What is the email address for Research Degrees or Studentship enquiries?,The email address for Research Degrees or Studentship enquiries is PGRadmissions@bournemouth.ac.uk.
How can media enquiries be directed to Bournemouth University?,Media enquiries can be directed by visiting the Press Office page or emailing newsdesk@bournemouth.ac.uk.
What is the email address for businesses and organisations interested in collaborating with Bournemouth University?,Businesses and organisations can email international@bournemouth.ac.uk for collaboration enquiries.
How can employers promote job opportunities to BU students or graduates?,Employers can promote job opportunities by visiting the MyCareerHub site.
What is the email address for events and conferencing enquiries at Bournemouth University?,The email address for events and conferencing enquiries is buevents@bournemouth.ac.uk.
How can careers advisers and teachers contact Bournemouth University regarding the Schools Liaison programme?,Careers advisers and teachers can email schoolsliaison@bournemouth.ac.uk or visit the dedicated webpages for teachers and advisers.
What is the contact information for graduation ceremonies at Bournemouth University?,"For graduation ceremonies, you can call +44 (0)1202 969696 or email studentlifecycle@bournemouth.ac.uk."
How can employers request degree verification for past BU students?,Employers can request degree verification via Prospects Hedd at www.hedd.ac.uk.
What is the email address for past students requesting confirmation of study?,Past students can email student_verification@bournemouth.ac.uk for confirmation-of-study letters.
How can Freedom of Information Act 2000 requests be made to Bournemouth University?,Freedom of Information Act 2000 requests can be made by calling +44 (0)1202 961315 or emailing FOIA@bournemouth.ac.uk.
What is the contact number for the major incident information line at Bournemouth University?,The contact number for the major incident information line is +44 (0)1202 968999.
What is the emergency contact number for staff or students at Bournemouth University?,The emergency contact number is +44 (0)1202 962222 (internal line: 222).
How can residents report noise nuisances or anti-social behavior related to student halls?,Residents can contact Environmental Health at 01202 123789 or environmentalhealth@bcpcouncil.gov.uk.
What is the out-of-hours noise service contact number?,The out-of-hours noise service contact number is 0800 0281870.
How can employers advertise vacancies to BU students and graduates?,Employers can advertise vacancies on the MyCareerHub platform or contact the Graduate Recruitment Team at Recruit@bournemouth.ac.uk.
What is the process for submitting an admissions appeal or complaint at Bournemouth University?,Admissions appeals or complaints can be submitted by completing the online form available on the university's website.
What are the conditions under which an admissions appeal will be considered?,An admissions appeal will be considered if there is evidence of non-compliance with university policies or if new pertinent information is provided that was not included in the original application.
What is the email address for website-related enquiries at Bournemouth University?,Website-related enquiries can be emailed to the web team.
How can I find the postal addresses for buildings at Bournemouth University?,A full list of postal addresses for buildings at BU can be found on the university's website.
What is the contact information for the Graduate Recruitment Team at Bournemouth University?,The Graduate Recruitment Team can be contacted at +44 (0)1202 961660 or via email at Recruit@bournemouth.ac.uk.
How can I access accessibility information for Bournemouth University?,Accessibility information can be found on the university's accessibility information page.
What is the contact number for the Community Enforcement Officer in Bournemouth?,The contact number for the Community Enforcement Officer is 01202 123789.
How can I report a noise nuisance in Poole?,"For noise nuisances in Poole, refer to the Poole Borough Council website for information."
What is the Twitter handle for BU's Job Shop?,The Twitter handle for BU's Job Shop is @BUJobShop.
How can I contact the Corporate Communications team at Bournemouth University?,The Corporate Communications team can be contacted via the major incident information line at +44 (0)1202 968999.
What is the email address for the Schools Liaison programme at Bournemouth University?,The email address for the Schools Liaison programme is schoolsliaison@bournemouth.ac.uk.
How can I find more information about Careers Fairs at Bournemouth University?,More information about Careers Fairs can be found on the MyCareerHub site.
